Date : 2026-05-26 09:00:31
Directory : /home/bashar/Projects/algonaid_mobile_app
Total : 329 files,  64684 codes, 813 comments, 2646 blanks, all 68143 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| test                                                                                                                           |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                            |          2 |        119 |         15 |         30 |        164 |
| windows                                                                                                                        |         11 |        649 |         85 |        171 |        905 |
| windows (Files)                                                                                                                |          1 |         89 |          0 |         20 |        109 |
| windows/flutter                                                                                                                |          1 |         98 |          0 |         12 |        110 |
| windows/runner                                                                                                                 |          9 |        462 |         85 |        139 |        686 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                       | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/bashar/Projects/algonaid_mobile_app/.idea/libraries/Dart_SDK.xml                                                         | XML        |         19 |          0 |          0 |         19 |
| /home/bashar/Projects/algonaid_mobile_app/.idea/libraries/KotlinJavaRuntime.xml                                                | XML        |         15 |          0 |          1 |         16 |
| /home/bashar/Projects/algonaid_mobile_app/.idea/modules.xml                                                                    | XML        |          9 |          0 |          1 |         10 |
| /home/bashar/Projects/algonaid_mobile_app/.idea/runConfigurations/main_dart.xml                                                | XML        |          6 |          0 |          0 |          6 |
| /home/bashar/Projects/algonaid_mobile_app/.idea/workspace.xml                                                                  | XML        |         36 |          0 |          1 |         37 |
| /home/bashar/Projects/algonaid_mobile_app/README.md                                                                            | Markdown   |        174 |          0 |         33 |        207 |
| /home/bashar/Projects/algonaid_mobile_app/algonaid_mobile_app.iml                                                              | XML        |         17 |          0 |          1 |         18 |
| /home/bashar/Projects/algonaid_mobile_app/analysis_options.yaml                                                                | YAML       |          3 |         22 |          4 |         29 |
| /home/bashar/Projects/algonaid_mobile_app/android/algonaid_mobile_app_android.iml                                              | XML        |         29 |          0 |          1 |         30 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/debug/AndroidManifest.xml                                            | XML        |          3 |          4 |          1 |          8 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/main/AndroidManifest.xml                                             | XML        |         35 |         11 |          1 |         47 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/main/res/drawable-v21/launch_background.xml                          | XML        |          4 |          7 |          2 |         13 |
