"filename", "language", "Dart", "XML", "CMake", "C++", "Markdown", "Swift", "JSON", "YAML", "HTML", "Properties", "comment", "blank", "total"
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/loading/courseCardShimmer.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 87
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/loading/shimmer_loading.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/app_error_state.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/circular_reveal.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 72
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/expertBadge3D.dart", "Dart", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21, 261
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/heroWidget.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/linearProgress.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/section_header.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/show_dialog.dart", "Dart", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 149
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/textform_field.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 146
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/data/datasources/auth_remote_datasourse.dart", "Dart", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 63
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/data/models/auth_models.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 51
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/data/repositories/auth_repo_impl.dart", "Dart", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 95
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/domain/entities/user_entity.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 20
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/domain/repositories/auth_repo.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/domain/usecases/logout_usecase.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/domain/usecases/signin_usecase.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/domain/usecases/signup_usecase.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 36
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/pages/signin_&_signup_pages.dart", "Dart", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 221
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/providers/auth_service_provider.dart", "Dart", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27, 179
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/animated_switcher.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/auth_header.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/drop_down_bottun.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 49
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/label.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 24
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/signin_with_google.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 39
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/swap_bottons.dart", "Dart", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 92
"/home/bashar/Projects/algonaid_mobile_app/lib/features/courses/README.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"/home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/datasources/course_local_stroage.dart", "Dart", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 101
