"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\widgets\shared\circular_reveal.dart", "Dart", 62, 0, 0, 10, 72
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\widgets\shared\expertBadge3D.dart", "Dart", 227, 0, 5, 21, 253
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\widgets\shared\heroWidget.dart", "Dart", 33, 0, 1, 3, 37
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\widgets\shared\linearProgress.dart", "Dart", 33, 0, 0, 3, 36
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\widgets\shared\section_header.dart", "Dart", 17, 0, 0, 3, 20
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\widgets\shared\show_dialog.dart", "Dart", 134, 0, 6, 9, 149
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\core\widgets\shared\textform_field.dart", "Dart", 136, 0, 1, 9, 146
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\data\datasources\auth_remote_datasourse.dart", "Dart", 55, 0, 1, 7, 63
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\data\models\auth_models.dart", "Dart", 43, 0, 1, 7, 51
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\data\repositories\auth_repo_impl.dart", "Dart", 87, 0, 1, 7, 95
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\domain\entities\user_entity.dart", "Dart", 17, 0, 1, 2, 20
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\domain\repositories\auth_repo.dart", "Dart", 17, 0, 0, 2, 19
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\domain\usecases\logout_usecase.dart", "Dart", 11, 0, 0, 4, 15
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\domain\usecases\signin_usecase.dart", "Dart", 18, 0, 1, 4, 23
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\domain\usecases\signup_usecase.dart", "Dart", 31, 0, 1, 4, 36
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\presentation\pages\signin_&_signup_pages.dart", "Dart", 180, 0, 21, 20, 221
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\presentation\providers\auth_service_provider.dart", "Dart", 148, 0, 4, 27, 179
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\presentation\widgets\animated_switcher.dart", "Dart", 15, 0, 1, 3, 19
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\presentation\widgets\auth_header.dart", "Dart", 9, 0, 0, 3, 12
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\presentation\widgets\drop_down_bottun.dart", "Dart", 42, 0, 2, 5, 49
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\presentation\widgets\label.dart", "Dart", 20, 0, 2, 2, 24
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\presentation\widgets\signin_with_google.dart", "Dart", 33, 0, 2, 4, 39
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\auth\presentation\widgets\swap_bottons.dart", "Dart", 83, 0, 3, 6, 92
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\README.md", "Markdown", 0, 12, 0, 6, 18
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\datasources\course_local_stroage.dart", "Dart", 63, 0, 0, 9, 72
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\datasources\courses_remote_data_source.dart", "Dart", 50, 0, 0, 12, 62
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\models\continue_learning_model.dart", "Dart", 53, 0, 10, 4, 67
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\models\courseProgress_model.dart", "Dart", 49, 0, 2, 11, 62
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\models\course_model.dart", "Dart", 124, 0, 1, 21, 146
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\models\course_model.g.dart", "Dart", 69, 0, 4, 8, 81
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\models\course_progress_model.g.dart", "Dart", 39, 0, 0, 6, 45
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\models\lesson_progress_model.dart", "Dart", 47, 0, 0, 10, 57
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\models\progress_model.dart", "Dart", 29, 0, 0, 6, 35
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\models\teacher_model.dart", "Dart", 75, 0, 0, 8, 83
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\models\teacher_model.g.dart", "Dart", 45, 0, 4, 8, 57
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\models\user_model.dart", "Dart", 23, 0, 0, 9, 32
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\models\user_model.g.dart", "Dart", 33, 0, 4, 8, 45
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\data\repositories\courses_repository_impl.dart", "Dart", 105, 0, 0, 19, 124
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\domain\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\domain\entities\courseProgress_entity.dart", "Dart", 15, 0, 0, 3, 18
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\domain\entities\course_entity.dart", "Dart", 66, 0, 0, 4, 70
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\domain\entities\teacher_entity.dart", "Dart", 17, 0, 0, 3, 20
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\domain\entities\user_entity.dart", "Dart", 5, 0, 0, 2, 7
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\domain\repositories\courses_repository.dart", "Dart", 10, 0, 1, 4, 15
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\domain\usecases\enroll_usecase.dart", "Dart", 16, 0, 0, 5, 21
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\domain\usecases\get_continue_learning.dart", "Dart", 0, 0, 8, 4, 12
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\domain\usecases\get_course_progress.dart", "Dart", 17, 0, 0, 5, 22
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\domain\usecases\get_courses_usecase.dart", "Dart", 13, 0, 0, 4, 17
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\domain\usecases\get_mycourese_usecase.dart", "Dart", 13, 0, 0, 4, 17
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\pages\courses_page.dart", "Dart", 141, 0, 0, 18, 159
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\providers\get_courses_provider.dart", "Dart", 144, 0, 7, 28, 179
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\all_courses_section.dart", "Dart", 80, 0, 1, 7, 88
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\bottomNavigationBar.dart", "Dart", 137, 0, 0, 12, 149
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\buildCourseCard.dart", "Dart", 34, 0, 0, 4, 38
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\buildCourseDetails.dart", "Dart", 242, 0, 5, 17, 264
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\buildCourseImage.dart", "Dart", 66, 0, 0, 11, 77
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\buildShimmerSection.dart", "Dart", 43, 0, 1, 6, 50
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\continue_learning_card.dart", "Dart", 208, 0, 1, 13, 222
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\courseHeader.dart", "Dart", 31, 0, 0, 3, 34
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\courses_state_widgets.dart", "Dart", 26, 0, 0, 5, 31
