Date : 2026-05-28 09:44:00
Directory : /home/bashar/Projects/algonaid_mobile_app/lib
Total : 273 files,  19746 codes, 582 comments, 2376 blanks, all 22704 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        256 |     19,626 |        582 |      2,324 |     22,532 |
| Markdown |         17 |        120 |          0 |         52 |        172 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/api_service.dart                                                    | Dart     |         53 |          0 |          9 |         62 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/check_internet.dart                                                 | Dart     |          5 |          0 |          2 |          7 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/dio_error_handler.dart                                              | Dart     |         41 |          3 |         12 |         56 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/execute_request.dart                                                | Dart     |         18 |          4 |          3 |         25 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/initial_dio.dart                                                    | Dart     |         56 |          4 |          8 |         68 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/README.md                                                            | Markdown |         10 |          0 |          4 |         14 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/appRouters.dart                                                      | Dart     |        125 |         21 |         17 |        163 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/authGuard.dart                                                       | Dart     |          0 |         29 |          7 |         36 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/navigatorKey.dart                                                    | Dart     |          2 |          0 |          2 |          4 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/paths_routes.dart                                                    | Dart     |         14 |          0 |          1 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/README.md                                                             | Markdown |         10 |          0 |          4 |         14 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/animation.dart                                                        | Dart     |         91 |          1 |         10 |        102 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/app_shadows.dart                                                      | Dart     |         42 |          0 |          9 |         51 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/borders.dart                                                          | Dart     |          7 |          0 |          1 |          8 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/colors.dart                                                           | Dart     |         45 |          6 |         15 |         66 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/styles.dart                                                           | Dart     |         82 |          2 |         22 |        106 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/theme.dart                                                            | Dart     |        225 |         20 |         22 |        267 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/theme_provider.dart                                                   | Dart     |         29 |          0 |          8 |         37 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/usecase/usecase.dart                                                        | Dart     |          5 |          1 |          3 |          9 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/README.md                                                         | Markdown |          8 |          0 |          4 |         12 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/no_param_use_case.dart                                            | Dart     |          5 |          0 |          2 |          7 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/use_case.dart                                                     | Dart     |          5 |          0 |          2 |          7 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/usecase.dart                                                      | Dart     |          6 |          0 |          3 |          9 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/README.md                                                             | Markdown |         10 |          0 |          4 |         14 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/cache/per_caching_for_images.dart                                     | Dart     |          0 |          0 |          2 |          2 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/cache/shared_pref.dart                                                | Dart     |         40 |         21 |         16 |         77 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/functions/check_user_auth_token.dart                                  | Dart     |         24 |          0 |          5 |         29 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/functions/share_product.dart                                          | Dart     |          0 |         23 |          4 |         27 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/functions/user_friendly_error.dart                                    | Dart     |         35 |          0 |          8 |         43 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/hive/hive_data.dart                                                   | Dart     |         35 |          5 |          8 |         48 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/hive/hive_setup.dart                                                  | Dart     |         42 |          0 |          5 |         47 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/hive/init_hive.dart                                                   | Dart     |         28 |          0 |          6 |         34 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/hive/token_storage.dart                                               | Dart     |         20 |          0 |          5 |         25 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/platform/open_external_url.dart                                       | Dart     |          6 |          0 |          2 |          8 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/platform/open_external_url_stub.dart                                  | Dart     |          1 |          0 |          1 |          2 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/platform/open_external_url_web.dart                                   | Dart     |          4 |          0 |          2 |          6 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/providers/app_providers.dart                                          | Dart     |         58 |          1 |          5 |         64 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/validations/app_validation.dart                                       | Dart     |        117 |         17 |         28 |        162 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/validations/validation_pattern.dart                                   | Dart     |         17 |          9 |          7 |         33 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/README.md                                                           | Markdown |         11 |          0 |          4 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/buttons/custom_button.dart                                          | Dart     |         33 |          0 |          5 |         38 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/loading/continueLearningShimmer.dart                                | Dart     |         97 |          7 |          6 |        110 |
