Date : 2026-05-28 09:44:00
Directory : /home/bashar/Projects/algonaid_mobile_app/lib
Total : 131 files,  -44938 codes, -231 comments, -270 blanks, all -45439 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         70 |      1,988 |         38 |        104 |      2,130 |
| features/profile/presentation/widgets                                                                                          |          5 |        515 |         28 |         41 |        584 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                       | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/bashar/Projects/algonaid_mobile_app/.idea/libraries/Dart_SDK.xml                                                         | XML        |        -19 |          0 |          0 |        -19 |
| /home/bashar/Projects/algonaid_mobile_app/.idea/libraries/KotlinJavaRuntime.xml                                                | XML        |        -15 |          0 |         -1 |        -16 |
| /home/bashar/Projects/algonaid_mobile_app/.idea/modules.xml                                                                    | XML        |         -9 |          0 |         -1 |        -10 |
| /home/bashar/Projects/algonaid_mobile_app/.idea/runConfigurations/main_dart.xml                                                | XML        |         -6 |          0 |          0 |         -6 |
| /home/bashar/Projects/algonaid_mobile_app/.idea/workspace.xml                                                                  | XML        |        -36 |          0 |         -1 |        -37 |
| /home/bashar/Projects/algonaid_mobile_app/README.md                                                                            | Markdown   |       -174 |          0 |        -33 |       -207 |
| /home/bashar/Projects/algonaid_mobile_app/algonaid_mobile_app.iml                                                              | XML        |        -17 |          0 |         -1 |        -18 |
| /home/bashar/Projects/algonaid_mobile_app/analysis_options.yaml                                                                | YAML       |         -3 |        -22 |         -4 |        -29 |
| /home/bashar/Projects/algonaid_mobile_app/android/algonaid_mobile_app_android.iml                                              | XML        |        -29 |          0 |         -1 |        -30 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/debug/AndroidManifest.xml                                            | XML        |         -3 |         -4 |         -1 |         -8 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/main/AndroidManifest.xml                                             | XML        |        -35 |        -11 |         -1 |        -47 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/main/res/drawable-v21/launch_background.xml                          | XML        |         -4 |         -7 |         -2 |        -13 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/main/res/drawable/launch_background.xml                              | XML        |         -4 |         -7 |         -2 |        -13 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/main/res/values-night/styles.xml                                     | XML        |         -9 |         -9 |         -1 |        -19 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/main/res/values/styles.xml                                           | XML        |         -9 |         -9 |         -1 |        -19 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/profile/AndroidManifest.xml                                          | XML        |         -3 |         -4 |         -1 |         -8 |
| /home/bashar/Projects/algonaid_mobile_app/android/gradle.properties                                                            | Properties |         -3 |          0 |         -1 |         -4 |
| /home/bashar/Projects/algonaid_mobile_app/android/gradle/wrapper/gradle-wrapper.properties                                     | Properties |         -5 |          0 |         -1 |         -6 |
| /home/bashar/Projects/algonaid_mobile_app/assets/lottie/Trophy.json                                                            | JSON       |    -28,515 |          0 |          0 |    -28,515 |
| /home/bashar/Projects/algonaid_mobile_app/assets/lottie/Trophy2.json                                                           | JSON       |     -5,178 |          0 |          0 |     -5,178 |
| /home/bashar/Projects/algonaid_mobile_app/assets/lottie/gold_medal.json                                                        | JSON       |     -6,027 |          0 |          0 |     -6,027 |
| /home/bashar/Projects/algonaid_mobile_app/assets/lottie/gold_medal2.json                                                       | JSON       |     -4,998 |          0 |          0 |     -4,998 |
| /home/bashar/Projects/algonaid_mobile_app/assets/svg/google-icon-logo-svgrepo-com.svg                                          | XML        |         -2 |          0 |          0 |         -2 |
| /home/bashar/Projects/algonaid_mobile_app/assets/svg/onboarding1.svg                                                           | XML        |         -1 |          0 |         -1 |         -2 |
| /home/bashar/Projects/algonaid_mobile_app/assets/svg/onboarding2.svg                                                           | XML        |         -1 |          0 |          0 |         -1 |
| /home/bashar/Projects/algonaid_mobile_app/assets/svg/onboarding3.svg                                                           | XML        |         -1 |          0 |          0 |         -1 |
| /home/bashar/Projects/algonaid_mobile_app/assets/svg/onboarding4.svg                                                           | XML        |         -1 |          0 |          0 |         -1 |
| /home/bashar/Projects/algonaid_mobile_app/devtools_options.yaml                                                                | YAML       |         -3 |          0 |         -1 |         -4 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/AppDelegate.swift                                                         | Swift      |        -12 |          0 |         -2 |        -14 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                          | JSON       |       -122 |          0 |         -1 |       -123 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                        | JSON       |        -23 |          0 |         -1 |        -24 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                            | Markdown   |         -3 |          0 |         -2 |         -5 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Base.lproj/LaunchScreen.storyboard                                        | XML        |        -47 |         -1 |         -1 |        -49 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Base.lproj/Main.storyboard                                                | XML        |        -25 |         -1 |         -1 |        -27 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Runner-Bridging-Header.h                                                  | C++        |         -1 |          0 |         -1 |         -2 |
| /home/bashar/Projects/algonaid_mobile_app/ios/RunnerTests/RunnerTests.swift                                                    | Swift      |         -7 |         -2 |         -4 |        -13 |
| /home/bashar/Projects/algonaid_mobile_app/json_test.dart                                                                       | Dart       |        -38 |          0 |         -3 |        -41 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/constants/app_constants.dart                                                | Dart       |         10 |          0 |          0 |         10 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/di/service_locator.dart                                                     | Dart       |         17 |          0 |          3 |         20 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/api_service.dart                                                    | Dart       |          6 |          0 |          1 |          7 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/appRouters.dart                                                      | Dart       |         15 |          3 |          3 |         21 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/routes/paths_routes.dart                                                    | Dart       |          3 |          0 |          0 |          3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/theme/borders.dart                                                          | Dart       |          7 |          0 |          1 |          8 |
